Time,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,VelocityAV1,Acceleration1,Acceleration2,Acceleration3,Acceleration4,Acceleration5,AccelerationAV1,Headway1,Headway2,Headway3,Headway4,Headway5,HeadwayAV1
11.5,28.775027405529485,22.760062839646626,17.77254099342402,20.585994161272914,31.668984534406206,25.787533537908168,0.3171913267758399,1.675653865604809,2.314597250664145,-1.574694333703517,-0.0389765579319894,-0.4731139270058686,384.36497482260916,82.20759202932138,581.2776350231464,53.716751054792816,159.7738952034798,128.36941232462885
12.0,28.92342595567103,23.575678323786676,18.956751890136495,19.808855466111126,31.45647714761773,25.464437265550274,0.27876537895302606,1.5856028265634157,2.416762144869018,-1.567109526751904,-0.7576494199178976,-0.666261144035017,369.941048492392,85.05387554455586,572.109276586909,52.779567383937376,156.7927447338644,125.65807547897512
12.5,29.05384685489972,24.3399495852611,20.185800798356038,19.24227414014909,30.91141204251762,25.123092728581387,0.24499451889410295,1.4730518715120977,2.445491801315196,0.38197636961836645,-1.7277730416645867,-0.6866018994876018,355.447334072419,87.5739750372717,562.3370324104833,52.82616185269212,153.83059903843855,122.73324780346464
13.0,29.16846799465573,25.043863285632742,21.347392267521695,19.556731858332554,30.098683671753957,25.138676980361144,0.21531480886579432,1.3462550047831057,2.208649621972701,0.887738729511834,-1.448334089844842,0.1929706574673818,340.8922859978203,89.78745324373037,551.9604192042221,53.516315156381225,151.138328383101,119.85907534739603
13.5,29.26920342706422,25.682716418975378,22.38802723660368,20.10366588034636,29.48846521299263,25.279941246587352,0.18923062902005583,1.2141122951396515,1.9628398403287926,0.7484239014626107,-0.8195216799870886,0.4043761713596967,326.2833344963924,91.7183963713327,541.0318455631594,122.56522321650681,148.84588146780493,117.1690128690934
14.0,29.35773532758547,26.255637474661324,23.308058229474792,20.42476503837789,29.329114823561778,25.38016606886225,0.16630640106885367,1.0833595932527795,1.7305215464956611,0.5170838749584222,-0.1828394978696235,0.14068844653313142,311.62700966556383,93.39314806737451,529.6122017967535,125.41326014591553,146.81157789901602,114.63489921583934
14.5,29.43554208557025,26.764414927873705,24.11818096138592,21.13966692618742,29.277291195695504,25.453092482774064,0.1461593145871561,0.9579385266580142,1.5223945526792642,3,-0.02812936813502165,1.394572910469265,296.929050518134,94.8385753219268,517.7594242182101,128.35732798448964,144.86466286928123,112.24079743566672
15.0,29.503922991802455,27.212435901627206,24.83057208413326,22.639666926187388,29.056809831899315,26.016282617921732,0.12845293448290604,0.8403461162712534,1.3383883541050416,3,-0.49734897954834123,1.1730668123850885,282.1945008177331,96.08094695580695,505.5255430018193,130.9196725879167,143.14939267337195,110.29870064530486
15.5,29.56401993528456,27.604116899106437,25.456776077496922,23.937928747032622,28.812828215874262,26.55901659598927,0.11289158288594976,0.732377788317992,1.1763638077228158,1.8735535612230905,0.07142304933630128,0.6511252714315862,267.42779330435417,97.14519118907603,492.95660737862744,132.95956369093284,141.82460014803985,108.82092667911435
16.0,29.616836471579457,27.9445328104246,26.007150269727777,24.727061162509823,28.946455161296694,26.886728204943875,0.0992154016395091,0.634957662084757,1.0338855831733482,1.304538587912398,0.42029910531002457,0.5655702201253365,252.63282371643527,98.05438194284133,480.0931744174363,134.6751459714392,140.74431608401306,107.63346676434026
16.5,29.66325458112973,28.23899927254824,26.490858329115945,25.33933953409921,29.180749142126338,27.199018991323047,0.08719601294308817,0.5481283434009361,0.9086447845006156,1.373011711695756,0.08203421951735484,0.6005512076748043,237.8130158455818,98.82944995298118,466.9709117744967,136.21456126744812,139.73488571417244,172.50520192956623
